Rank,Name,Alias1,Alias2,Eng_Name,Eng_Abbr
1,國立臺灣大學,臺大,台大,National Taiwan University,NTU
2,國立成功大學,成大,,National Cheng Kung University,NCKU
3,國立清華大學,清大,,National Tsing Hua University,NTHU
4,國立交通大學,交大,,National Chiao Tung University,NCTU
5,國立陽明大學,,,National Yang-Ming University,NYMU
6,國立中央大學,,,National Central Univesity,NCU
7,長庚大學,,,Chang Gung University,CGU
8,中國醫藥大學,中國醫,,"China Medical University, Taiwan",CMU
9,臺北醫學大學,北醫,,Taipei Medical University,TMU
10,國立中山大學,,,National Sun Yat-sen Univesity,NSYSU
11,國立中興大學,,,National Chung Hsing University,NCHU
12,國立臺灣師範大學,臺師大,台師大,National Taiwan Normal University,NTNU
13,國立臺灣科技大學,臺科大,台科大,National Taiwan University of Technology and Science,NTUST
14,國立政治大學,政大,,National Chengchi University,NCCU
15,高雄醫學大學,高醫,,Kaohsiung Medical University,KMU
16,國立臺北科技大學,北科大,,National Taipei University of Technology,NTUT
17,逢甲大學,,,Feng Chia University,FCU
18,國立中正大學,,,National Chung Cheng University,CCU
19,國立臺灣海洋大學,海大,,National Taiwan Ocean University,NTOU
20,慈濟大學,,,Tzu Chi University,TCU
21,輔仁大學,輔大,,Fu Jen Catholic University,FJCU
22,淡江大學,淡大,,Tamkang University,TKU
23,中原大學,,,Chung Yuan Christian University,CYCU
24,中山醫學大學,中山醫,,Chung Shan Medical University,CSMU
25,亞洲大學,亞大,,Asia University,AU
26,國立東華大學,,,National Dong Hwa University,NDHU
27,元智大學,,,Yuan Ze University,YZU
28,國立臺北大學,北大,,National Taipei University,NTPU
29,國立嘉義大學,嘉大,,National Chiayi University,NCYU
30,國立彰化師範大學,彰師大,,National Changhua University of Education,NCUE
31,中國文化大學,文大,,Chinese Culture University,CCU
32,臺北市立大學,北市大,,University of Taipei,UT
33,東海大學,,,Tunghai University,THU
34,長庚科技大學,,,Chang Gung University of Science and Technology,CGUST
35,國立雲林科技大學,雲科大,,National Yunlin University of Science and Technology,YunTech
36,國立高雄大學,,,National University of Kaohsiung,NUK
37,國立宜蘭大學,,,National Ilan University,NIU
38,國立屏東科技大學,屏科大,,National Pingtung University of Science and Technology ,NPUST
39,國立暨南國際大學,暨大,,National Chi Nan University,NCNU
40,義守大學,義大,,I-Shou University,ISU
41,東吳大學,,,Soochow University,SCU
42,明志科技大學,,,Ming Chi University of Technology,MCUT
43,南華大學,,,Nanhua University,NHU
44,國立高雄師範大學,高師大,,National Kaohsiung Normal University,NKNU
45,國立台中教育大學,中教大,,National Taichung University of Education,NTCU
46,國立臺北教育大學,北教大,,National Taipei University of Education,NTUE
47,新竹教育大學,竹教大,,National Hsin Chu University of Education,NHCUE
48,國立高雄應用科技大學,高應大,,National Kaohsiung University of Applied Sciences ,KUAS
49,國立高雄第一科技大學,高一大,,The National Kaohsiung First University of Science and Technology,NKFUST
50,銘傳大學,,,Ming Chuan University,MCU
